0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
1,27,1,1,1,1,1,1,1,1,0.0,0.0,1.0,0.72,1.0,-1,1.0,
1,21,-1,1,1,1,1,1,-1,1,-1.0,0.0,1.0,0.438,1.0,-1,1.0,
1,17,1,1,1,1,1,1,1,1,-1.0,0.094,1.0,0.768,1.0,-1,1.0,
1,31,1,1,1,1,1,1,1,1,-1.0,0.034,1.0,0.83,1.0,-1,1.0,
1,27,1,1,1,1,1,1,-1,1,0.0,-1.0,0.0,1.0,-1.0,1,,
1,35,1,1,1,1,1,1,1,1,-1.0,0.0,1.0,0.352,1.0,-1,1.0,
1,19,1,1,1,1,1,1,-1,1,0.0,-1.0,0.0,1.0,-1.0,1,,
1,21,1,1,1,1,2,1,-1,1,0.0,-1.0,0.0,1.0,-1.0,1,,
1,64,1,1,1,1,3,1,-1,1,0.0,-1.0,0.0,1.0,-1.0,1,,
1,60,1,1,1,1,3,1,-1,1,0.0,-1.0,0.0,1.0,-1.0,1,,
1,27,1,1,1,1,1,1,-1,1,0.0,-1.0,0.0,1.0,-1.0,1,,
1,22,1,1,1,1,1,1,1,1,-1.0,0.026,1.0,0.663,1.0,-1,1.0,
1,32,1,1,1,1,1,1,-1,1,0.0,-1.0,0.0,1.0,-1.0,1,,
1,24,-1,1,1,1,1,1,1,1,-1.0,0.005,1.0,0.842,1.0,-1,1.0,
1,22,1,1,1,1,1,1,1,1,-1.0,0.037,1.0,0.604,1.0,-1,1.0,
1,26,1,1,1,1,1,1,1,1,-1.0,0.024,1.0,0.684,1.0,-1,1.0,
1,16,1,1,1,1,1,1,1,1,-1.0,0.015,1.0,0.663,1.0,-1,1.0,
1,19,1,1,1,1,1,1,1,1,-1.0,0.087,1.0,0.831,1.0,-1,1.0,
1,20,-1,1,1,1,1,1,-1,1,0.0,-1.0,0.0,1.0,-1.0,1,,
1,37,-1,1,1,1,2,1,-1,1,0.0,-1.0,0.0,1.0,-1.0,1,,
1,26,1,1,1,1,1,1,-1,1,0.0,-1.0,0.0,1.0,-1.0,1,,
1,57,1,1,1,1,1,1,-1,1,0.0,-1.0,0.0,1.0,-1.0,1,,
1,72,1,1,1,1,1,1,-1,1,0.0,-1.0,0.0,1.0,-1.0,1,,
1,60,1,1,1,1,1,1,-1,1,0.0,-1.0,0.0,1.0,-1.0,1,,
1,68,1,1,1,1,1,1,-1,1,0.0,-1.0,0.0,1.0,-1.0,1,,
1,59,1,1,1,1,1,1,-1,1,0.0,-1.0,0.0,1.0,-1.0,1,,
1,60,1,1,1,1,1,1,-1,1,0.0,-1.0,0.0,1.0,-1.0,1,,
